Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-19 11:02:47,40.0,36.8,0.37,0.48,1.12,0.23,0.43,0.2
2025-12-19 11:02:52,39.8,33.4,0.38,0.46,1.27,0.22,0.39,0.22
2025-12-19 11:02:59,39.8,33.4,0.37,0.41,1.14,0.22,0.37,0.24
2025-12-19 11:03:04,39.5,33.0,0.37,0.41,1.21,0.2,0.36,0.22
2025-12-19 11:03:09,39.3,33.0,0.36,0.38,1.2,0.24,0.35,0.23
2025-12-19 11:03:14,39.0,32.9,0.34,0.38,1.23,0.2,0.35,0.2
2025-12-19 11:03:20,38.8,33.4,0.36,0.37,1.06,0.23,0.32,0.21
2025-12-19 11:03:25,38.6,33.7,0.33,0.35,1.12,0.24,0.33,0.23
2025-12-19 11:03:30,38.4,34.0,0.36,0.37,1.05,0.22,0.32,0.2
2025-12-19 11:03:35,38.1,34.4,0.35,0.38,1.14,0.21,0.34,0.19
2025-12-19 11:03:41,37.8,34.6,0.33,0.35,1.13,0.2,0.35,0.2
2025-12-19 11:03:46,37.6,35.0,0.35,0.36,1.16,0.21,0.32,0.23
2025-12-19 11:03:51,37.4,35.3,0.35,0.37,1.05,0.24,0.32,0.22
2025-12-19 11:03:56,37.1,35.8,0.32,0.35,1.02,0.22,0.32,0.23
2025-12-19 11:04:02,36.8,36.3,0.34,0.36,1.04,0.2,0.35,0.2
2025-12-19 11:04:07,36.5,36.9,0.35,0.36,1.04,0.21,0.32,0.22
2025-12-19 11:04:12,36.1,37.0,0.34,0.36,1.02,0.23,0.32,0.23
2025-12-19 11:04:17,35.8,37.2,0.34,0.36,1.01,0.22,0.32,0.23
2025-12-19 11:04:23,35.5,37.3,0.31,0.32,1.02,0.22,0.31,0.22
2025-12-19 11:04:28,35.4,37.6,0.34,0.35,1.03,0.23,0.32,0.2
2025-12-19 11:04:33,35.2,37.9,0.33,0.35,1.05,0.2,0.33,0.21
2025-12-19 11:04:38,34.9,38.5,0.33,0.35,1.08,0.19,0.35,0.2
2025-12-19 11:04:44,34.8,38.9,0.33,0.35,1.03,0.23,0.34,0.19
2025-12-19 11:04:49,34.6,39.1,0.35,0.31,1.17,0.19,0.34,0.22
2025-12-19 11:04:54,34.4,39.3,0.32,0.35,1.02,0.23,0.34,0.21
2025-12-19 11:05:00,34.3,39.6,0.34,0.32,1.13,0.19,0.33,0.23
2025-12-19 11:05:05,34.0,39.9,0.31,0.35,1.01,0.24,0.34,0.19
2025-12-19 11:05:10,33.9,40.2,0.32,0.31,1.17,0.19,0.35,0.21
2025-12-19 11:05:15,33.6,40.6,0.34,0.31,1.1,0.19,0.33,0.23
2025-12-19 11:05:21,33.5,40.6,0.31,0.33,1.0,0.24,0.33,0.19
2025-12-19 11:05:27,33.5,40.6,0.31,0.33,1.0,0.23,0.33,0.19
2025-12-19 11:05:32,33.3,41.1,0.33,0.32,1.11,0.23,0.32,0.19
2025-12-19 11:05:37,33.1,41.4,0.35,0.32,1.09,0.23,0.32,0.19
2025-12-19 11:05:43,33.0,41.7,0.34,0.32,1.19,0.2,0.32,0.22
2025-12-19 11:05:48,32.8,41.9,0.34,0.32,1.19,0.21,0.32,0.19
2025-12-19 11:05:53,32.7,42.2,0.32,0.33,1.18,0.21,0.32,0.19
2025-12-19 11:05:58,32.5,42.2,0.33,0.35,1.03,0.23,0.32,0.19
2025-12-19 11:06:04,32.4,42.5,0.31,0.35,1.13,0.2,0.32,0.19
2025-12-19 11:06:09,32.2,42.9,0.35,0.31,1.15,0.19,0.35,0.2
2025-12-19 11:06:14,32.2,42.9,0.34,0.32,1.01,0.23,0.34,0.2
2025-12-19 11:06:19,32.1,43.2,0.3,0.32,1.01,0.23,0.35,0.2
2025-12-19 11:06:25,31.9,43.4,0.35,0.31,1.15,0.23,0.33,0.19
2025-12-19 11:06:30,31.8,43.6,0.31,0.33,1.01,0.24,0.35,0.19
2025-12-19 11:06:35,31.7,43.6,0.34,0.31,1.0,0.24,0.35,0.2
2025-12-19 11:06:40,31.6,43.9,0.31,0.31,1.13,0.23,0.34,0.19
2025-12-19 11:06:46,31.5,43.9,0.31,0.32,1.01,0.2,0.35,0.2
2025-12-19 11:06:51,31.4,44.2,0.3,0.31,1.01,0.23,0.34,0.19
2025-12-19 11:06:56,31.3,44.5,0.33,0.3,1.18,0.2,0.32,0.19
2025-12-19 11:07:01,31.3,44.4,0.31,0.35,1.05,0.19,0.32,0.23
2025-12-19 11:07:07,31.1,44.7,0.35,0.31,1.05,0.24,0.35,0.2
2025-12-19 11:07:12,31.1,44.8,0.34,0.31,1.03,0.22,0.36,0.21
2025-12-19 11:07:17,31.0,45.1,0.31,0.35,1.08,0.19,0.32,0.22
2025-12-19 11:07:22,31.0,45.2,0.35,0.3,1.18,0.2,0.32,0.2
2025-12-19 11:07:28,30.8,45.3,0.31,0.34,1.02,0.19,0.36,0.22
2025-12-19 11:07:33,30.8,45.6,0.34,0.3,1.18,0.19,0.34,0.23
2025-12-19 11:07:38,30.7,45.8,0.35,0.3,1.12,0.23,0.35,0.2
2025-12-19 11:07:44,30.6,45.8,0.31,0.33,1.17,0.2,0.33,0.19
2025-12-19 11:07:49,30.5,45.9,0.35,0.31,1.18,0.23,0.35,0.23
2025-12-19 11:07:54,30.5,46.1,0.31,0.32,1.01,0.21,0.36,0.21
2025-12-19 11:07:59,30.4,46.2,0.31,0.31,1.19,0.21,0.33,0.19
2025-12-19 11:08:05,30.4,46.4,0.31,0.3,1.19,0.22,0.34,0.2
2025-12-19 11:08:10,30.3,46.5,0.34,0.31,1.05,0.22,0.33,0.19
