Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-19 10:46:41,40.0,40.3,0.45,0.74,1.44,0.21,0.66,0.26
2025-12-19 10:46:46,39.9,40.4,0.45,0.74,1.43,0.23,0.64,0.28
2025-12-19 10:46:51,40.0,40.5,0.47,0.75,1.42,0.24,0.64,0.27
2025-12-19 10:46:57,39.9,40.5,0.48,0.73,1.22,0.24,0.63,0.27
2025-12-19 10:47:02,39.9,40.3,0.45,0.71,1.42,0.22,0.64,0.25
2025-12-19 10:47:08,39.9,40.3,0.46,0.70,1.45,0.23,0.61,0.27
2025-12-19 10:47:13,39.9,40.3,0.48,0.72,1.25,0.24,0.62,0.27
2025-12-19 10:47:19,39.9,40.3,0.47,0.71,1.46,0.22,0.63,0.25
2025-12-19 10:47:24,40.1,40.2,0.48,0.73,1.31,0.22,0.63,0.25
2025-12-19 10:47:29,40.0,40.1,0.46,0.74,1.27,0.24,0.62,0.28
2025-12-19 10:47:35,39.9,40.1,0.45,0.71,1.45,0.23,0.64,0.25
2025-12-19 10:47:40,40.1,40.2,0.46,0.73,1.35,0.22,0.64,0.26
2025-12-19 10:47:45,40.0,40.1,0.45,0.75,1.46,0.22,0.65,0.27
2025-12-19 10:47:50,39.9,40.2,0.45,0.74,1.46,0.22,0.64,0.27
2025-12-19 10:47:56,39.9,40.1,0.45,0.72,1.45,0.22,0.63,0.27
2025-12-19 10:48:01,39.9,40.3,0.46,0.71,1.22,0.24,0.61,0.25
2025-12-19 10:48:06,40.0,40.1,0.46,0.68,1.39,0.21,0.62,0.25
2025-12-19 10:48:11,40.0,40.0,0.45,0.68,1.35,0.22,0.61,0.25
2025-12-19 10:48:17,39.9,40.1,0.47,0.69,1.45,0.22,0.62,0.25
2025-12-19 10:48:22,40.0,40.1,0.48,0.73,1.32,0.23,0.63,0.25
2025-12-19 10:48:27,40.1,40.3,0.47,0.78,1.22,0.24,0.64,0.27
2025-12-19 10:48:32,39.9,40.3,0.45,0.78,1.47,0.22,0.66,0.27
2025-12-19 10:48:38,39.9,40.4,0.47,0.80,1.25,0.24,0.65,0.29
2025-12-19 10:48:43,40.0,40.5,0.47,0.75,1.44,0.22,0.65,0.26
2025-12-19 10:48:48,39.8,40.5,0.46,0.74,1.32,0.23,0.64,0.26
2025-12-19 10:48:53,40.0,40.3,0.47,0.78,1.26,0.24,0.65,0.26
2025-12-19 10:48:59,40.0,40.4,0.47,0.78,1.29,0.24,0.65,0.26
2025-12-19 10:49:04,39.9,40.5,0.46,0.78,1.37,0.24,0.65,0.27
2025-12-19 10:49:09,40.0,40.5,0.47,0.79,1.27,0.23,0.65,0.28
2025-12-19 10:49:14,40.0,40.5,0.46,0.77,1.22,0.23,0.64,0.28
2025-12-19 10:49:20,40.2,40.7,0.45,0.73,1.45,0.22,0.65,0.26
2025-12-19 10:49:25,39.9,40.4,0.45,0.72,1.39,0.23,0.65,0.25
2025-12-19 10:49:30,40.1,40.3,0.45,0.72,1.44,0.21,0.65,0.25
2025-12-19 10:49:35,39.9,40.2,0.45,0.73,1.22,0.22,0.65,0.26
2025-12-19 10:49:41,40.0,40.2,0.47,0.72,1.42,0.21,0.64,0.27
2025-12-19 10:49:46,40.3,40.1,0.47,0.72,1.22,0.23,0.62,0.27
