Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-18 18:24:11,36.2,35.0,0.48,0.52,2.63,0.38,0.73,3.3
2025-12-18 18:24:17,36.4,35.2,0.46,0.49,2.63,0.34,0.72,3.3
2025-12-18 18:24:22,36.2,35.1,0.45,0.48,2.61,0.33,0.73,3.3
2025-12-18 18:24:27,36.2,35.0,0.46,0.54,2.66,0.35,0.75,3.3
2025-12-18 18:24:32,36.3,35.0,0.46,0.53,2.63,0.35,0.73,3.3
2025-12-18 18:24:38,36.4,34.9,0.45,0.53,2.64,0.34,0.72,3.3
2025-12-18 18:24:43,36.3,34.9,0.5,0.5,2.64,0.37,0.77,3.3
2025-12-18 18:24:48,36.4,35.0,0.48,0.48,2.61,0.34,0.73,3.3
2025-12-18 18:24:53,36.4,34.7,0.46,0.48,2.61,0.34,0.75,3.3
2025-12-18 18:24:59,36.5,34.8,0.46,0.54,2.66,0.33,0.73,3.3
2025-12-18 18:25:04,36.5,34.8,0.47,0.48,2.63,0.35,0.76,3.3
2025-12-18 18:25:09,36.5,34.7,0.49,0.49,2.63,0.35,0.75,3.3
2025-12-18 18:25:14,36.5,34.7,0.44,0.51,2.63,0.34,0.72,3.3
2025-12-18 18:25:20,36.5,34.7,0.49,0.48,2.59,0.34,0.74,3.3
2025-12-18 18:25:25,36.5,34.9,0.49,0.48,2.6,0.33,0.74,3.3
2025-12-18 18:25:30,36.4,34.8,0.44,0.53,2.66,0.36,0.76,3.3
2025-12-18 18:25:36,36.5,34.8,0.46,0.48,2.61,0.35,0.76,3.3
2025-12-18 18:25:41,36.6,34.9,0.46,0.49,2.61,0.34,0.75,3.3
2025-12-18 18:25:46,36.5,34.8,0.45,0.54,2.71,0.37,0.71,3.3
2025-12-18 18:25:51,36.5,34.8,0.49,0.5,2.65,0.37,0.77,3.3
2025-12-18 18:25:57,36.5,34.8,0.46,0.5,2.64,0.35,0.77,3.3
2025-12-18 18:26:02,36.5,34.7,0.46,0.48,2.61,0.34,0.73,3.3
2025-12-18 18:26:07,36.3,34.9,0.47,0.47,2.71,0.37,0.72,3.3
2025-12-18 18:26:12,36.4,34.8,0.45,0.49,2.64,0.35,0.72,3.3
2025-12-18 18:26:18,36.2,35.1,0.48,0.46,2.71,0.34,0.74,3.3
2025-12-18 18:26:23,36.4,35.0,0.47,0.51,2.66,0.34,0.72,3.3
2025-12-18 18:26:28,36.3,35.0,0.48,0.49,2.7,0.35,0.72,3.3
