Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-19 11:24:29,32.0,40.8,0.40,0.60,0.98,0.33,0.51,0.27
2025-12-19 11:24:34,32.1,40.7,0.41,0.60,0.87,0.33,0.52,0.29
2025-12-19 11:24:40,32.0,40.6,0.40,0.62,1.02,0.31,0.53,0.29
2025-12-19 11:24:45,32.1,40.6,0.39,0.62,0.99,0.31,0.51,0.27
2025-12-19 11:24:50,32.1,40.6,0.40,0.62,0.99,0.31,0.52,0.28
2025-12-19 11:24:55,32.1,40.7,0.40,0.61,0.95,0.34,0.53,0.30
2025-12-19 11:25:01,32.1,40.8,0.42,0.61,0.89,0.34,0.53,0.30
2025-12-19 11:25:06,32.1,40.6,0.42,0.61,1.04,0.32,0.52,0.29
2025-12-19 11:25:11,32.1,40.6,0.39,0.62,0.93,0.34,0.52,0.29
2025-12-19 11:25:16,32.2,40.7,0.41,0.62,0.98,0.31,0.53,0.29
2025-12-19 11:25:22,32.1,40.5,0.40,0.62,1.00,0.33,0.52,0.29
2025-12-19 11:25:27,32.1,40.4,0.41,0.62,1.00,0.32,0.51,0.29
2025-12-19 11:25:32,32.1,40.8,0.42,0.62,0.93,0.34,0.53,0.28
2025-12-19 11:25:37,32.2,40.5,0.40,0.60,0.86,0.34,0.52,0.29
2025-12-19 11:25:43,32.1,40.6,0.41,0.61,0.89,0.33,0.53,0.30
2025-12-19 11:25:48,32.1,40.7,0.40,0.61,0.96,0.31,0.51,0.27
2025-12-19 11:25:53,32.1,40.5,0.40,0.62,0.98,0.31,0.53,0.29
2025-12-19 11:25:58,32.1,40.8,0.40,0.62,0.99,0.34,0.53,0.29
2025-12-19 11:26:04,32.1,40.6,0.41,0.62,0.97,0.32,0.53,0.27
2025-12-19 11:26:09,32.1,40.5,0.39,0.61,0.88,0.34,0.53,0.30
2025-12-19 11:26:14,32.1,40.5,0.40,0.62,1.04,0.31,0.53,0.30
2025-12-19 11:26:19,32.1,40.7,0.40,0.62,0.97,0.33,0.51,0.30
2025-12-19 11:26:25,32.2,40.6,0.42,0.60,0.92,0.32,0.51,0.27
2025-12-19 11:26:30,32.1,40.8,0.40,0.61,0.94,0.33,0.51,0.27
2025-12-19 11:26:35,32.1,40.3,0.40,0.61,0.90,0.33,0.52,0.27
2025-12-19 11:26:41,32.1,40.6,0.42,0.60,1.02,0.32,0.51,0.28
2025-12-19 11:26:46,32.1,40.8,0.41,0.61,0.96,0.32,0.51,0.30
2025-12-19 11:26:51,32.1,40.6,0.40,0.60,0.96,0.33,0.52,0.29
2025-12-19 11:26:56,32.1,40.5,0.42,0.61,0.92,0.32,0.51,0.27
2025-12-19 11:27:02,32.1,40.7,0.40,0.62,1.00,0.33,0.52,0.29
2025-12-19 11:27:07,32.1,40.5,0.41,0.62,0.90,0.33,0.51,0.27
2025-12-19 11:27:12,32.1,40.8,0.40,0.60,0.92,0.33,0.53,0.30
2025-12-19 11:27:17,32.1,40.7,0.41,0.61,1.04,0.32,0.52,0.29
2025-12-19 11:27:23,32.2,40.6,0.40,0.60,1.04,0.32,0.52,0.28
2025-12-19 11:27:28,32.1,40.5,0.41,0.62,0.87,0.32,0.51,0.27
2025-12-19 11:27:33,32.1,40.7,0.41,0.62,0.99,0.31,0.52,0.28
2025-12-19 11:27:38,32.1,40.4,0.40,0.60,0.90,0.33,0.51,0.27
2025-12-19 11:27:44,32.1,40.8,0.40,0.60,1.02,0.31,0.51,0.28
2025-12-19 11:27:49,32.1,40.6,0.42,0.60,1.02,0.31,0.53,0.27
2025-12-19 11:27:54,32.1,40.3,0.40,0.62,1.01,0.33,0.52,0.30
2025-12-19 11:27:59,32.1,40.5,0.42,0.60,0.97,0.33,0.51,0.29
2025-12-19 11:28:05,32.1,40.4,0.42,0.62,0.89,0.33,0.52,0.28
2025-12-19 11:28:10,32.1,40.7,0.42,0.62,1.00,0.32,0.51,0.30
2025-12-19 11:28:15,32.1,40.4,0.40,0.62,0.96,0.32,0.52,0.28
2025-12-19 11:28:20,32.1,40.5,0.39,0.63,1.04,0.32,0.51,0.29
2025-12-19 11:28:26,32.1,40.7,0.41,0.62,0.86,0.31,0.51,0.28
2025-12-19 11:28:31,32.1,40.6,0.41,0.62,0.99,0.34,0.53,0.30
2025-12-19 11:28:37,32.1,40.6,0.41,0.62,1.03,0.31,0.51,0.28
2025-12-19 11:28:42,32.1,40.5,0.41,0.62,0.96,0.33,0.53,0.30
2025-12-19 11:28:48,32.1,40.3,0.40,0.60,0.98,0.32,0.51,0.28
2025-12-19 11:28:53,32.1,40.5,0.41,0.61,0.87,0.33,0.52,0.28
2025-12-19 11:28:58,32.1,40.4,0.40,0.61,1.02,0.31,0.53,0.28
2025-12-19 11:29:04,32.1,40.7,0.41,0.62,0.93,0.33,0.52,0.30
2025-12-19 11:29:09,32.1,40.5,0.40,0.61,0.94,0.31,0.53,0.28
2025-12-19 11:29:14,32.2,40.3,0.42,0.59,0.95,0.31,0.53,0.28
2025-12-19 11:29:19,32.2,40.7,0.40,0.61,0.95,0.31,0.52,0.27
2025-12-19 11:29:25,32.1,40.4,0.40,0.61,1.03,0.31,0.51,0.28
2025-12-19 11:29:30,32.1,40.5,0.42,0.62,0.91,0.34,0.52,0.27
2025-12-19 11:29:35,32.1,40.3,0.42,0.62,1.02,0.31,0.53,0.28
2025-12-19 11:29:40,32.1,40.3,0.41,0.60,0.86,0.32,0.52,0.28
2025-12-19 11:29:46,32.1,40.6,0.40,0.60,1.04,0.31,0.53,0.28
2025-12-19 11:29:51,32.1,40.5,0.41,0.59,1.00,0.31,0.53,0.30
2025-12-19 11:29:56,32.1,40.1,0.41,0.61,1.04,0.31,0.53,0.30
2025-12-19 11:30:01,32.2,40.2,0.39,0.60,0.87,0.34,0.53,0.30
2025-12-19 11:30:07,32.1,40.4,0.40,0.60,1.00,0.31,0.51,0.30
2025-12-19 11:30:12,32.2,40.5,0.40,0.61,1.03,0.32,0.51,0.29
2025-12-19 11:30:17,32.1,40.3,0.40,0.59,0.98,0.33,0.51,0.30
2025-12-19 11:30:22,32.1,40.6,0.40,0.60,0.94,0.32,0.53,0.29
2025-12-19 11:30:28,32.1,40.5,0.41,0.59,0.90,0.33,0.53,0.28
2025-12-19 11:30:33,32.1,40.6,0.41,0.61,1.01,0.31,0.53,0.28
2025-12-19 11:30:38,32.1,40.6,0.42,0.61,0.92,0.32,0.53,0.30
2025-12-19 11:30:43,32.1,40.5,0.42,0.59,0.88,0.32,0.53,0.30
2025-12-19 11:30:49,32.1,40.8,0.41,0.59,0.99,0.32,0.51,0.28
2025-12-19 11:30:54,32.1,40.7,0.42,0.61,0.97,0.34,0.51,0.27
2025-12-19 11:30:59,32.1,40.7,0.41,0.59,0.97,0.32,0.52,0.28
2025-12-19 11:31:04,32.1,40.6,0.41,0.59,1.04,0.33,0.51,0.29
2025-12-19 11:31:10,32.2,40.6,0.40,0.59,1.02,0.31,0.52,0.27
2025-12-19 11:31:15,32.1,40.5,0.42,0.60,0.91,0.33,0.53,0.27
2025-12-19 11:31:21,32.1,40.5,0.40,0.61,0.99,0.31,0.51,0.27
2025-12-19 11:31:27,32.1,40.6,0.42,0.59,1.03,0.32,0.52,0.29
2025-12-19 11:31:32,32.2,40.5,0.42,0.58,0.99,0.31,0.53,0.28
2025-12-19 11:31:37,32.1,40.5,0.40,0.61,0.87,0.32,0.51,0.30
2025-12-19 11:31:42,32.1,40.5,0.41,0.61,0.95,0.34,0.53,0.27
2025-12-19 11:31:48,32.1,40.4,0.39,0.61,1.03,0.32,0.51,0.27
2025-12-19 11:31:53,32.1,40.7,0.42,0.58,0.93,0.32,0.52,0.28
2025-12-19 11:31:58,32.1,40.5,0.41,0.59,0.98,0.32,0.54,0.28
2025-12-19 11:32:03,32.1,40.5,0.40,0.59,0.89,0.34,0.51,0.28
2025-12-19 11:32:09,32.1,40.3,0.42,0.60,0.95,0.31,0.51,0.29
2025-12-19 11:32:14,32.1,40.3,0.42,0.59,0.87,0.31,0.54,0.30
2025-12-19 11:32:19,32.2,40.3,0.42,0.58,0.90,0.33,0.52,0.30
2025-12-19 11:32:24,32.1,40.6,0.41,0.59,1.02,0.32,0.51,0.28
2025-12-19 11:32:30,32.2,40.4,0.42,0.59,1.01,0.31,0.53,0.28
2025-12-19 11:32:35,32.1,40.5,0.40,0.60,0.92,0.33,0.54,0.30
2025-12-19 11:32:40,32.2,40.5,0.42,0.58,1.04,0.31,0.53,0.30
2025-12-19 11:32:45,32.1,40.4,0.40,0.59,0.88,0.33,0.51,0.27
2025-12-19 11:32:51,32.1,40.5,0.41,0.58,0.95,0.31,0.51,0.29
2025-12-19 11:32:56,32.1,40.5,0.41,0.59,0.92,0.34,0.53,0.29
2025-12-19 11:33:01,32.2,40.6,0.42,0.58,0.97,0.33,0.53,0.30
2025-12-19 11:33:06,32.2,40.5,0.39,0.58,1.04,0.31,0.53,0.28
2025-12-19 11:33:12,32.0,40.4,0.39,0.60,0.97,0.33,0.53,0.28
2025-12-19 11:33:17,32.2,40.5,0.40,0.59,0.87,0.31,0.53,0.29
2025-12-19 11:33:22,32.2,40.6,0.40,0.60,1.04,0.32,0.54,0.28
2025-12-19 11:33:28,32.1,40.5,0.41,0.59,1.04,0.32,0.53,0.30
2025-12-19 11:33:33,32.2,40.6,0.40,0.60,1.02,0.31,0.51,0.27
2025-12-19 11:33:38,32.2,40.3,0.40,0.59,0.99,0.31,0.52,0.30
2025-12-19 11:33:43,32.2,40.4,0.41,0.58,1.04,0.33,0.53,0.27
2025-12-19 11:33:49,32.2,40.4,0.40,0.60,0.96,0.31,0.51,0.28
2025-12-19 11:33:54,32.1,40.3,0.39,0.58,0.98,0.31,0.53,0.27
2025-12-19 11:33:59,32.2,40.4,0.40,0.60,0.90,0.33,0.51,0.29
2025-12-19 11:34:04,32.1,40.4,0.40,0.59,0.90,0.33,0.54,0.30
2025-12-19 11:34:10,32.2,40.3,0.40,0.60,0.89,0.33,0.54,0.29
2025-12-19 11:34:15,32.1,40.4,0.40,0.60,0.93,0.33,0.52,0.29
2025-12-19 11:34:20,32.1,40.6,0.42,0.58,1.04,0.31,0.54,0.30
2025-12-19 11:34:25,32.2,40.4,0.42,0.59,1.00,0.31,0.54,0.30
