Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-18 23:25:18,42.5,25.5,0.73,1.45,2.53,0.47,0.67,3.3
2025-12-18 23:25:23,42.4,25.2,0.81,1.9,2.47,0.51,0.95,3.3
2025-12-18 23:25:28,42.4,25.8,0.62,2.11,2.54,0.53,0.97,3.3
2025-12-18 23:25:34,42.5,26.5,0.58,2.12,2.65,0.56,0.95,3.3
2025-12-18 23:25:39,42.5,27.3,0.56,2.16,2.66,0.57,1.0,3.3
2025-12-18 23:25:44,42.4,27.6,0.55,2.2,2.68,0.54,1.03,3.3
2025-12-18 23:25:49,42.5,27.9,0.57,2.19,2.58,0.54,1.04,3.3
2025-12-18 23:25:55,42.6,28.5,0.54,2.16,2.65,0.59,1.08,3.3
2025-12-18 23:26:00,42.6,28.7,0.56,2.19,2.58,0.56,1.05,3.3
2025-12-18 23:26:05,42.6,28.9,0.51,2.14,2.58,0.56,1.02,3.3
2025-12-18 23:26:10,42.5,29.0,0.54,2.15,2.65,0.56,1.05,3.3
2025-12-18 23:26:17,42.5,29.0,0.54,2.15,2.6,0.59,1.07,3.3
2025-12-18 23:26:22,42.6,29.0,0.51,2.13,2.65,0.6,1.03,3.3
2025-12-18 23:26:27,42.6,29.0,0.54,2.11,2.57,0.56,1.04,3.3
2025-12-18 23:26:32,42.7,28.9,0.38,1.84,1.21,0.47,0.86,0.51
2025-12-18 23:26:38,42.8,28.9,0.46,1.66,1.12,0.43,0.85,0.44
2025-12-18 23:26:43,42.7,27.2,0.43,1.42,1.23,0.48,1.11,0.42
2025-12-18 23:26:48,42.6,25.1,0.57,1.14,1.09,0.49,1.1,0.3
2025-12-18 23:26:53,42.3,24.7,0.55,1.01,1.12,0.45,0.85,0.33
2025-12-18 23:26:59,42.2,25.0,0.4,0.93,1.08,0.45,0.91,0.29
2025-12-18 23:27:04,42.1,25.1,0.44,0.82,1.1,0.44,0.85,0.31
2025-12-18 23:27:09,41.9,25.1,0.46,1.08,1.06,0.44,0.96,0.26
2025-12-18 23:27:14,42.0,26.2,0.38,0.9,1.17,0.46,0.95,0.29
2025-12-18 23:27:20,41.7,25.9,0.49,0.92,2.05,0.49,0.8,3.3
2025-12-18 23:27:25,41.5,25.6,0.6,0.92,2.54,0.51,0.78,3.3
2025-12-18 23:27:30,41.4,25.5,0.64,1.22,2.61,0.51,0.8,3.3
2025-12-18 23:27:35,41.3,26.4,0.6,0.99,2.5,0.5,0.79,3.3
2025-12-18 23:27:41,41.4,25.8,0.59,0.97,2.49,0.53,0.84,3.3
2025-12-18 23:27:47,41.4,25.8,0.59,0.89,2.51,0.53,0.9,3.3
2025-12-18 23:27:52,41.2,26.0,0.62,0.87,2.59,0.54,0.78,3.3
2025-12-18 23:27:58,41.0,26.0,0.6,0.83,2.63,0.54,0.77,3.3
2025-12-18 23:28:03,40.8,26.1,0.6,0.82,2.63,0.5,0.75,3.3
2025-12-18 23:28:08,40.8,26.3,0.57,0.93,2.51,0.49,0.81,3.3
2025-12-18 23:28:13,40.7,26.6,0.46,0.91,1.02,0.4,0.62,0.26
2025-12-18 23:28:19,40.6,27.8,0.54,1.58,2.33,0.5,0.72,3.3
2025-12-18 23:28:24,40.5,27.5,0.42,1.09,0.96,0.4,0.59,0.28
2025-12-18 23:28:29,40.4,27.6,0.46,1.36,1.15,0.39,0.71,0.35
2025-12-18 23:28:34,40.3,28.2,0.47,1.46,1.1,0.4,0.82,0.37
2025-12-18 23:28:40,40.3,29.4,0.49,1.49,1.17,0.41,0.84,0.42
2025-12-18 23:28:45,40.2,30.1,0.5,1.53,1.2,0.46,0.92,0.43
2025-12-18 23:28:50,40.2,30.4,0.48,1.53,1.09,0.47,0.95,0.42
2025-12-18 23:28:55,40.3,30.7,0.5,1.54,1.21,0.44,0.93,0.4
2025-12-18 23:29:01,40.4,31.1,0.49,1.53,1.06,0.47,0.97,0.4
2025-12-18 23:29:06,40.4,31.0,0.52,1.57,1.19,0.47,0.96,0.41
2025-12-18 23:29:11,40.5,31.1,0.5,1.55,1.23,0.47,0.97,0.42
2025-12-18 23:29:16,40.6,30.8,0.58,1.8,2.33,0.57,1.09,3.3
2025-12-18 23:29:22,40.8,29.4,0.58,1.47,2.33,0.51,0.81,3.3
