Timestamp,Temp(C),Hum(%),MQ2(V),MQ3(V),MQ5(V),MQ7(V),MQ8(V),MQ135(V)
2025-12-18 23:25:18,42.5,25.5,0.32,0.82,1.57,0.15,0.13,3.01
2025-12-18 23:25:23,42.4,25.2,0.4,1.27,1.51,0.19,0.41,3.01
2025-12-18 23:25:28,42.4,25.8,0.21,1.48,1.58,0.21,0.43,3.01
2025-12-18 23:25:34,42.5,26.5,0.17,1.49,1.69,0.24,0.41,3.01
2025-12-18 23:25:39,42.5,27.3,0.15,1.53,1.7,0.25,0.46,3.01
2025-12-18 23:25:44,42.4,27.6,0.14,1.57,1.72,0.22,0.49,3.01
2025-12-18 23:25:49,42.5,27.9,0.16,1.56,1.62,0.22,0.5,3.01
2025-12-18 23:25:55,42.6,28.5,0.13,1.53,1.69,0.27,0.54,3.01
2025-12-18 23:26:00,42.6,28.7,0.15,1.56,1.62,0.24,0.51,3.01
2025-12-18 23:26:05,42.6,28.9,0.1,1.51,1.62,0.24,0.48,3.01
2025-12-18 23:26:10,42.5,29.0,0.13,1.52,1.69,0.24,0.51,3.01
2025-12-18 23:26:17,42.5,29.0,0.13,1.52,1.64,0.27,0.53,3.01
2025-12-18 23:26:22,42.6,29.0,0.1,1.5,1.69,0.28,0.49,3.01
2025-12-18 23:26:27,42.6,29.0,0.13,1.48,1.61,0.24,0.5,3.01
2025-12-18 23:26:32,42.7,28.9,-0.03,1.21,0.25,0.15,0.32,0.22
2025-12-18 23:26:38,42.8,28.9,0.05,1.03,0.16,0.11,0.31,0.15
2025-12-18 23:26:43,42.7,27.2,0.02,0.79,0.27,0.16,0.57,0.13
2025-12-18 23:26:48,42.6,25.1,0.16,0.51,0.13,0.17,0.56,0.01
2025-12-18 23:26:53,42.3,24.7,0.14,0.38,0.16,0.13,0.31,0.04
2025-12-18 23:26:59,42.2,25.0,-0.01,0.3,0.12,0.13,0.37,0.0
2025-12-18 23:27:04,42.1,25.1,0.03,0.19,0.14,0.12,0.31,0.02
2025-12-18 23:27:09,41.9,25.1,0.05,0.45,0.1,0.12,0.42,-0.03
2025-12-18 23:27:14,42.0,26.2,-0.03,0.27,0.21,0.14,0.41,0.0
2025-12-18 23:27:20,41.7,25.9,0.08,0.29,1.09,0.17,0.26,3.01
2025-12-18 23:27:25,41.5,25.6,0.19,0.29,1.58,0.19,0.24,3.01
2025-12-18 23:27:30,41.4,25.5,0.23,0.59,1.65,0.19,0.26,3.01
